   Scenario            Design      PCS      PCA      POS      POA     PET     Dur
1         1          gBOIN-ET     63.6     29.1      0.0      0.0     0.4     960
2         1     TITE-gBOIN-ET     64.3     26.3      0.0      0.0     0.3     559
3         2          gBOIN-ET     53.4     29.0      4.3      3.8     0.5     959
4         2     TITE-gBOIN-ET     53.6     28.1      6.5      6.1     0.4     521
5         3          gBOIN-ET     55.2     35.2      3.5      5.8     4.6     949
6         3     TITE-gBOIN-ET     56.5     33.7      4.9      8.0     3.6     516
7         4          gBOIN-ET     65.6     45.3     13.4     11.6     1.7     955
8         4     TITE-gBOIN-ET     61.6     40.4     18.9     17.8     1.7     477
9         5          gBOIN-ET     59.5     41.0      5.8      7.5     1.7     955
10        5     TITE-gBOIN-ET     59.1     39.1      8.4     11.3     1.6     483
11        6          gBOIN-ET     68.0     53.9      8.7     11.0     0.7     954
12        6     TITE-gBOIN-ET     65.2     49.5     14.3     18.8     0.5     452
13        7          gBOIN-ET     90.3     87.6      6.9     12.4     2.8     940
14        7     TITE-gBOIN-ET     87.4     81.6     10.4     18.4     2.1     436
15        8          gBOIN-ET     77.0     61.4     17.7     19.0     0.0     959
16        8     TITE-gBOIN-ET     75.5     55.1     18.6     28.4     0.0     467
17        9          gBOIN-ET     82.5     47.2      5.8     13.7     1.8     956
18        9     TITE-gBOIN-ET     78.4     39.9      8.2     17.9     1.3     538
19       10          gBOIN-ET     27.1     12.3      0.0      0.0     0.0     960
20       10     TITE-gBOIN-ET     41.8     18.5      0.0      0.0     0.1     538
