"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"47","gBOIN-ET",45,10,"Utility",4,"Rec",1.16,4.78,5.02,76.64,11.24,1.09,0.07
"48","gBOIN-ET",45,10,"Utility",4,"Pats",NA,6.1743,11.4264,16.2327,1.8693,0.1473,0.0084
"49","gBOIN-ET",45,10,"Utility",5,"Rec",1.31,10,16.4,63.47,8.25,0.57,0
"50","gBOIN-ET",45,10,"Utility",5,"Pats",NA,6.834,13.9443,13.7343,1.2441,0.0822,0.0042
"51","gBOIN-ET",45,10,"Utility",6,"Rec",0.85,8.82,79.13,10.03,1.09,0.06,0.02
"52","gBOIN-ET",45,10,"Utility",6,"Pats",NA,15.435,18.585,1.5819,0.1206,0.0054,6e-04
"53","gBOIN-ET",45,10,"Utility",7,"Rec",4.05,85.99,8.74,1.05,0.14,0.03,0
"54","gBOIN-ET",45,10,"Utility",7,"Pats",NA,32.8341,1.9299,0.1704,0.0138,0.0027,0
"55","gBOIN-ET",45,10,"Utility",8,"Rec",0.01,19.14,71.99,7.51,1.18,0.16,0.01
"56","gBOIN-ET",45,10,"Utility",8,"Pats",NA,12.045,20.4561,2.619,0.6882,0.1578,0.0306
"57","gBOIN-ET",45,10,"Utility",9,"Rec",1.15,2.4,1.35,1.12,76.99,15.46,1.53
"58","gBOIN-ET",45,10,"Utility",9,"Pats",NA,3.7503,4.3407,4.6068,21.048,2.0019,0.1683
"59","gBOIN-ET",45,10,"Utility",10,"Rec",0.07,0.89,1.11,1.81,6.24,73.96,15.92
"60","gBOIN-ET",45,10,"Utility",10,"Pats",NA,3.2538,3.5655,4.3209,7.2531,15.6399,1.962
"61","gBOIN-ET",45,10,"Highest Efficacy",1,"Rec",0.3,0.68,1.77,3.44,9.96,27.12,56.73
"62","gBOIN-ET",45,10,"Highest Efficacy",1,"Pats",NA,3.5931,4.1196,4.7232,5.5827,8.2551,9.7098
"63","gBOIN-ET",45,10,"Highest Efficacy",2,"Rec",0.32,0.68,1.62,4.37,51.23,40.52,1.26
"64","gBOIN-ET",45,10,"Highest Efficacy",2,"Pats",NA,3.7233,4.4478,5.6256,13.5744,8.0919,0.5145
"65","gBOIN-ET",45,10,"Highest Efficacy",3,"Rec",4.5,3.08,9.86,32.41,48.57,1.57,0.01
"66","gBOIN-ET",45,10,"Highest Efficacy",3,"Pats",NA,4.9593,7.2525,10.2489,11.8515,1.1748,0.0816
"67","gBOIN-ET",45,10,"Highest Efficacy",4,"Rec",1.16,6.29,22.36,64.57,5.26,0.34,0.02
"68","gBOIN-ET",45,10,"Highest Efficacy",4,"Pats",NA,6.1743,11.4264,16.2327,1.8693,0.1473,0.0084
"69","gBOIN-ET",45,10,"Highest Efficacy",5,"Rec",1.31,4.86,37.01,54.55,2.22,0.05,0
"70","gBOIN-ET",45,10,"Highest Efficacy",5,"Pats",NA,6.834,13.9443,13.7343,1.2441,0.0822,0.0042
"71","gBOIN-ET",45,10,"Highest Efficacy",6,"Rec",0.85,35.82,60.89,2.37,0.06,0.01,0
"72","gBOIN-ET",45,10,"Highest Efficacy",6,"Pats",NA,15.435,18.585,1.5819,0.1206,0.0054,6e-04
"73","gBOIN-ET",45,10,"Highest Efficacy",7,"Rec",4.05,93.5,2.44,0.01,0,0,0
"74","gBOIN-ET",45,10,"Highest Efficacy",7,"Pats",NA,32.8341,1.9299,0.1704,0.0138,0.0027,0
"75","gBOIN-ET",45,10,"Highest Efficacy",8,"Rec",0.01,16.67,71.24,9.54,2.28,0.24,0.02
"76","gBOIN-ET",45,10,"Highest Efficacy",8,"Pats",NA,12.045,20.4561,2.619,0.6882,0.1578,0.0306
"77","gBOIN-ET",45,10,"Highest Efficacy",9,"Rec",1.15,0.75,1.73,3.1,92.23,1.02,0.02
"78","gBOIN-ET",45,10,"Highest Efficacy",9,"Pats",NA,3.7503,4.3407,4.6068,21.048,2.0019,0.1683
"79","gBOIN-ET",45,10,"Highest Efficacy",10,"Rec",0.07,0.24,0.61,1.43,10.19,76.08,11.38
"80","gBOIN-ET",45,10,"Highest Efficacy",10,"Pats",NA,3.2538,3.5655,4.3209,7.2531,15.6399,1.962
"81","gBOIN-ET",60,5,"Utility",1,"Rec",0.25,2.08,3.37,4.43,6.2,15.29,68.38
"82","gBOIN-ET",60,5,"Utility",1,"Pats",NA,3.6252,4.1433,4.7298,5.5806,8.2872,9.6216
"83","gBOIN-ET",60,5,"Utility",2,"Rec",0.38,1.6,2.98,2.96,36.8,50.68,4.6
"84","gBOIN-ET",60,5,"Utility",2,"Pats",NA,3.6618,4.35,5.5932,13.7022,8.1246,0.5448
"85","gBOIN-ET",60,5,"Utility",3,"Rec",4.24,5,8.19,10.25,62.58,9.15,0.59
"86","gBOIN-ET",60,5,"Utility",3,"Pats",NA,4.9611,7.3362,10.3143,11.7495,1.1541,0.0852
"87","gBOIN-ET",60,5,"Utility",4,"Rec",1.27,5.09,4.7,77.31,10.51,1.06,0.06
"88","gBOIN-ET",60,5,"Utility",4,"Pats",NA,6.1788,11.5011,16.2741,1.7487,0.1308,0.0081
"89","gBOIN-ET",60,5,"Utility",5,"Rec",1.27,10.23,15.93,63.56,8.3,0.68,0.03
"90","gBOIN-ET",60,5,"Utility",5,"Pats",NA,6.8322,14.0052,13.6641,1.2363,0.0888,0.0048
"91","gBOIN-ET",60,5,"Utility",6,"Rec",0.76,9.14,78.77,10.15,1.1,0.08,0
"92","gBOIN-ET",60,5,"Utility",6,"Pats",NA,15.3897,18.5961,1.6344,0.1332,0.0078,3e-04
"93","gBOIN-ET",60,5,"Utility",7,"Rec",4.34,85.61,8.74,1.27,0.04,0,0
"94","gBOIN-ET",60,5,"Utility",7,"Pats",NA,32.7282,2.0142,0.1821,0.0105,0.0012,0
"95","gBOIN-ET",60,5,"Utility",8,"Rec",0.01,18.83,72.47,7.39,1.09,0.2,0.01
"96","gBOIN-ET",60,5,"Utility",8,"Pats",NA,11.9499,20.6121,2.5944,0.6462,0.1623,0.0318
"97","gBOIN-ET",60,5,"Utility",9,"Rec",1.18,2.5,1.23,1.11,76.4,15.73,1.85
"98","gBOIN-ET",60,5,"Utility",9,"Pats",NA,3.7599,4.3635,4.6905,20.8992,2.0004,0.1938
"99","gBOIN-ET",60,5,"Utility",10,"Rec",0.05,0.79,1.1,2,6.88,73.4,15.78
"100","gBOIN-ET",60,5,"Utility",10,"Pats",NA,3.2517,3.5841,4.3656,7.4025,15.3813,2.0106
