"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"1","TITE-gBOIN-ET",45,5,"Utility",1,"Rec",0.22,2.21,3.86,4.99,7.87,15.87,64.98
"2","TITE-gBOIN-ET",45,5,"Utility",1,"Pats",NA,3.9156,4.6698,5.3046,5.8617,6.8166,9.4206
"3","TITE-gBOIN-ET",45,5,"Utility",2,"Rec",0.46,2.45,3.16,3.64,23.19,53.62,13.48
"4","TITE-gBOIN-ET",45,5,"Utility",2,"Pats",NA,4.026,4.8363,5.7192,8.9052,10.1031,2.3763
"5","TITE-gBOIN-ET",45,5,"Utility",3,"Rec",3.51,4.7,7.65,10.27,57.69,14.57,1.61
"6","TITE-gBOIN-ET",45,5,"Utility",3,"Pats",NA,4.9263,6.9978,8.9031,11.8974,2.6049,0.3507
"7","TITE-gBOIN-ET",45,5,"Utility",4,"Rec",1.69,5.72,4.91,57.64,21.47,6.71,1.86
"8","TITE-gBOIN-ET",45,5,"Utility",4,"Pats",NA,5.751,9.0573,14.1375,5.0502,1.5081,0.3096
"9","TITE-gBOIN-ET",45,5,"Utility",5,"Rec",1.48,11.42,13.62,55.4,14.82,3.05,0.21
"10","TITE-gBOIN-ET",45,5,"Utility",5,"Pats",NA,6.8706,10.9713,13.5804,3.654,0.6822,0.072
"11","TITE-gBOIN-ET",45,5,"Utility",6,"Rec",0.37,8.98,61.24,21.27,6.05,1.72,0.37
"12","TITE-gBOIN-ET",45,5,"Utility",6,"Pats",NA,11.0043,17.6046,5.4006,1.473,0.3576,0.06
"13","TITE-gBOIN-ET",45,5,"Utility",7,"Rec",2.06,72.78,19.62,4.68,0.76,0.1,0
"14","TITE-gBOIN-ET",45,5,"Utility",7,"Pats",NA,28.1379,6.0714,1.1037,0.1689,0.0207,0.0015
"15","TITE-gBOIN-ET",45,5,"Utility",8,"Rec",0.01,11.83,76,8.95,2.47,0.65,0.09
"16","TITE-gBOIN-ET",45,5,"Utility",8,"Pats",NA,6.1092,19.3083,5.1897,3.2613,1.6131,0.5151
"17","TITE-gBOIN-ET",45,5,"Utility",9,"Rec",1.36,5.82,3.75,4.03,49.01,26.42,9.61
"18","TITE-gBOIN-ET",45,5,"Utility",9,"Pats",NA,4.6479,5.5662,5.4045,13.2984,5.55,1.4631
"19","TITE-gBOIN-ET",45,5,"Utility",10,"Rec",0.1,0.93,0.99,2.04,4.62,41.25,50.07
"20","TITE-gBOIN-ET",45,5,"Utility",10,"Pats",NA,3.3597,3.7326,4.3776,5.6337,12.0333,6.8595
"21","TITE-gBOIN-ET",45,5,"Highest Efficacy",1,"Rec",0.22,0.64,1.54,3.02,8.43,21.68,64.47
"22","TITE-gBOIN-ET",45,5,"Highest Efficacy",1,"Pats",NA,3.9156,4.6698,5.3046,5.8617,6.8166,9.4206
"23","TITE-gBOIN-ET",45,5,"Highest Efficacy",2,"Rec",0.46,0.77,1.71,3.44,32.3,54.14,7.18
"24","TITE-gBOIN-ET",45,5,"Highest Efficacy",2,"Pats",NA,4.026,4.8363,5.7192,8.9052,10.1031,2.3763
"25","TITE-gBOIN-ET",45,5,"Highest Efficacy",3,"Rec",3.51,2.51,8.33,24.61,56.15,4.74,0.15
