"","M","Z1","Z2","Z3","Z4","X1","X2","X3","X4","X5","X6"
"1","TITE-gBOIN-ET",45,5,"Utility",1,67.81,25.7878151260504,0,0,0.3,377.97116154088
"2","TITE-gBOIN-ET",45,5,"Utility",2,54.62,26.9320608649226,9.11,4.45808862786973,0.4,345.169365978783
"3","TITE-gBOIN-ET",45,5,"Utility",3,59.84,32.9001781931883,12.83,6.06024947046364,3.36,334.948894550106
"4","TITE-gBOIN-ET",45,5,"Utility",4,67.04,41.2018531217073,22.01,13.3489990132294,1.07,301.246739764118
"5","TITE-gBOIN-ET",45,5,"Utility",5,60.22,38.4119326985084,13.41,8.14384898201888,1.38,303.167861892941
"6","TITE-gBOIN-ET",45,5,"Utility",6,70.32,51.0514234010824,21.25,13.4146545801846,0.6,272.722170386821
"7","TITE-gBOIN-ET",45,5,"Utility",7,80.78,86.8364908687489,15.65,13.1635091312511,3.57,253.382488457884
"8","TITE-gBOIN-ET",45,5,"Utility",8,75.59,57.2394136129145,10.24,22.1020260190517,0.01,287.426727605985
"9","TITE-gBOIN-ET",45,5,"Utility",9,62.65,44.8203612808441,28.83,15.3310628067715,1.03,349.408238122118
"10","TITE-gBOIN-ET",45,5,"Utility",10,34.64,13.4090037835225,0,0,0.04,360.27839299716
"11","TITE-gBOIN-ET",45,5,"Highest Efficacy",1,60,25.7878151260504,0,0,0.3,377.97116154088
"12","TITE-gBOIN-ET",45,5,"Highest Efficacy",2,49.62,26.9320608649226,3.73,4.45808862786973,0.4,345.169365978783
"13","TITE-gBOIN-ET",45,5,"Highest Efficacy",3,51.47,32.9001781931883,2.74,6.06024947046364,3.36,334.948894550106
"14","TITE-gBOIN-ET",45,5,"Highest Efficacy",4,60.16,41.2018531217073,12.11,13.3489990132294,1.07,301.246739764118
"15","TITE-gBOIN-ET",45,5,"Highest Efficacy",5,56.68,38.4119326985084,4.86,8.14384898201888,1.38,303.167861892941
"16","TITE-gBOIN-ET",45,5,"Highest Efficacy",6,62.43,51.0514234010824,6.41,13.4146545801846,0.6,272.722170386821
"17","TITE-gBOIN-ET",45,5,"Highest Efficacy",7,90.93,86.8364908687489,5.5,13.1635091312511,3.57,253.382488457884
"18","TITE-gBOIN-ET",45,5,"Highest Efficacy",8,75.41,57.2394136129145,15.13,22.1020260190517,0.01,287.426727605985
"19","TITE-gBOIN-ET",45,5,"Highest Efficacy",9,87.5,44.8203612808441,3.86,15.3310628067715,1.03,349.408238122118
"20","TITE-gBOIN-ET",45,5,"Highest Efficacy",10,28.77,13.4090037835225,0,0,0.04,360.27839299716
"21","TITE-gBOIN-ET",45,10,"Utility",1,67.55,26.8040119725532,0,0,0.33,489.78903758487
"22","TITE-gBOIN-ET",45,10,"Utility",2,54.35,26.067516954313,7.79,3.43340479308648,0.47,465.612958277378
"23","TITE-gBOIN-ET",45,10,"Utility",3,60.53,32.3061262261706,12.26,5.48348560563996,3.57,459.334875317419
"24","TITE-gBOIN-ET",45,10,"Utility",4,68.75,42.9928741092637,19.95,11.0610217122211,1.23,436.931640411812
"25","TITE-gBOIN-ET",45,10,"Utility",5,61.51,38.8126975631784,13.11,6.95422387984814,1.07,439.378717684703
"26","TITE-gBOIN-ET",45,10,"Utility",6,71.62,51.4820462123624,19.43,10.7982439972521,0.62,417.782540807008
"27","TITE-gBOIN-ET",45,10,"Utility",7,81.82,89.4754358567369,14.59,10.5245641432631,3.59,402.771761350774
"28","TITE-gBOIN-ET",45,10,"Utility",8,76.29,58.7116666666667,8.63,18.3941666666667,0,425.40823042567
"29","TITE-gBOIN-ET",45,10,"Utility",9,64.33,49.37625250501,25.97,12.6770207080828,1.26,470.014144706006
"30","TITE-gBOIN-ET",45,10,"Utility",10,30.84,11.6775424823528,0,0,0.06,476.839336564828
"31","TITE-gBOIN-ET",45,10,"Highest Efficacy",1,59.58,26.8040119725532,0,0,0.33,489.78903758487
"32","TITE-gBOIN-ET",45,10,"Highest Efficacy",2,48.11,26.067516954313,2.87,3.43340479308648,0.47,465.612958277378
