"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"29","gBOIN-ET",45,5,"Highest Efficacy",5,"Rec",1.49,4.93,27.03,60.77,5.62,0.16,0
"30","gBOIN-ET",45,5,"Highest Efficacy",5,"Pats",NA,6.5925,11.6568,14.964,2.3355,0.2493,0.0168
"31","gBOIN-ET",45,5,"Highest Efficacy",6,"Rec",0.53,21.82,69.32,7.51,0.76,0.06,0
"32","gBOIN-ET",45,5,"Highest Efficacy",6,"Pats",NA,12.4932,19.6095,3.24,0.4515,0.0456,0.0039
"33","gBOIN-ET",45,5,"Highest Efficacy",7,"Rec",2.67,90.38,6.76,0.17,0.02,0,0
"34","gBOIN-ET",45,5,"Highest Efficacy",7,"Pats",NA,30.9198,3.8364,0.4866,0.0516,0.0057,3e-04
"35","gBOIN-ET",45,5,"Highest Efficacy",8,"Rec",0.02,5.24,75.71,12.58,5.44,0.89,0.12
"36","gBOIN-ET",45,5,"Highest Efficacy",8,"Pats",NA,7.0437,21.9024,4.1232,1.9614,0.7572,0.2055
"37","gBOIN-ET",45,5,"Highest Efficacy",9,"Rec",1.82,1.64,2.83,5.23,82.91,5.21,0.36
"38","gBOIN-ET",45,5,"Highest Efficacy",9,"Pats",NA,4.2267,4.9536,4.8846,16.9125,4.1868,0.7248
"39","gBOIN-ET",45,5,"Highest Efficacy",10,"Rec",0.11,0.37,0.5,1.43,5.69,65.7,26.2
"40","gBOIN-ET",45,5,"Highest Efficacy",10,"Pats",NA,3.2634,3.5811,4.1637,5.7078,14.9538,4.323
"41","gBOIN-ET",45,10,"Utility",1,"Rec",0.4,2.72,3.86,5.66,8.43,14.8,64.13
"42","gBOIN-ET",45,10,"Utility",1,"Pats",NA,3.717,4.3314,4.9569,5.5041,7.0647,10.4034
"43","gBOIN-ET",45,10,"Utility",2,"Rec",0.39,2.41,3.41,3.62,22.79,57.32,10.06
"44","gBOIN-ET",45,10,"Utility",2,"Pats",NA,3.8118,4.5744,5.5008,10.1442,10.5861,1.3551
"45","gBOIN-ET",45,10,"Utility",3,"Rec",4.3,4.97,8.65,9.55,58.28,13.12,1.13
"46","gBOIN-ET",45,10,"Utility",3,"Pats",NA,4.9137,6.8973,9.2562,12.4428,1.9116,0.1881
"47","gBOIN-ET",45,10,"Utility",4,"Rec",1.82,6.26,5.12,65.05,17.61,3.61,0.53
"48","gBOIN-ET",45,10,"Utility",4,"Pats",NA,5.7369,9.7104,16.266,3.4308,0.5874,0.0645
"49","gBOIN-ET",45,10,"Utility",5,"Rec",1.88,12.6,12.86,57.71,12.87,1.99,0.09
"50","gBOIN-ET",45,10,"Utility",5,"Pats",NA,6.675,11.6994,14.7609,2.3838,0.2712,0.0171
"51","gBOIN-ET",45,10,"Utility",6,"Rec",0.53,9.26,70.17,16.41,3.17,0.42,0.04
"52","gBOIN-ET",45,10,"Utility",6,"Pats",NA,12.3507,19.4547,3.4863,0.4887,0.0552,0.0063
"53","gBOIN-ET",45,10,"Utility",7,"Rec",2.78,79.41,14.85,2.78,0.13,0.05,0
"54","gBOIN-ET",45,10,"Utility",7,"Pats",NA,31.0401,3.6675,0.4752,0.0414,0.006,3e-04
"55","gBOIN-ET",45,10,"Utility",8,"Rec",0.02,10.06,78.88,8.46,1.94,0.51,0.13
"56","gBOIN-ET",45,10,"Utility",8,"Pats",NA,6.9201,22.2408,3.9591,1.9074,0.7587,0.2073
"57","gBOIN-ET",45,10,"Utility",9,"Rec",1.74,6.63,3.6,3.01,53.35,25.38,6.29
"58","gBOIN-ET",45,10,"Utility",9,"Pats",NA,4.2201,4.9416,4.8447,17.0394,4.1121,0.7305
"59","gBOIN-ET",45,10,"Utility",10,"Rec",0.12,1.11,1.34,2.06,3.16,58.5,33.71
"60","gBOIN-ET",45,10,"Utility",10,"Pats",NA,3.2661,3.5508,4.1295,5.6277,14.9535,4.4625
"61","gBOIN-ET",45,10,"Highest Efficacy",1,"Rec",0.4,0.84,1.58,3.23,9.05,22.77,62.13
"62","gBOIN-ET",45,10,"Highest Efficacy",1,"Pats",NA,3.717,4.3314,4.9569,5.5041,7.0647,10.4034
"63","gBOIN-ET",45,10,"Highest Efficacy",2,"Rec",0.39,0.54,1.49,3.98,35.35,53.96,4.29
"64","gBOIN-ET",45,10,"Highest Efficacy",2,"Pats",NA,3.8118,4.5744,5.5008,10.1442,10.5861,1.3551
"65","gBOIN-ET",45,10,"Highest Efficacy",3,"Rec",4.3,2.66,8.54,25.94,55.26,3.26,0.04
"66","gBOIN-ET",45,10,"Highest Efficacy",3,"Pats",NA,4.9137,6.8973,9.2562,12.4428,1.9116,0.1881
"67","gBOIN-ET",45,10,"Highest Efficacy",4,"Rec",1.82,4.2,14.23,66.37,11.38,1.87,0.13
"68","gBOIN-ET",45,10,"Highest Efficacy",4,"Pats",NA,5.7369,9.7104,16.266,3.4308,0.5874,0.0645
"69","gBOIN-ET",45,10,"Highest Efficacy",5,"Rec",1.88,5.55,27.04,59.9,5.42,0.21,0
"70","gBOIN-ET",45,10,"Highest Efficacy",5,"Pats",NA,6.675,11.6994,14.7609,2.3838,0.2712,0.0171
"71","gBOIN-ET",45,10,"Highest Efficacy",6,"Rec",0.53,22.88,67.5,8.22,0.82,0.05,0
"72","gBOIN-ET",45,10,"Highest Efficacy",6,"Pats",NA,12.3507,19.4547,3.4863,0.4887,0.0552,0.0063
"73","gBOIN-ET",45,10,"Highest Efficacy",7,"Rec",2.78,90.52,6.46,0.24,0,0,0
"74","gBOIN-ET",45,10,"Highest Efficacy",7,"Pats",NA,31.0401,3.6675,0.4752,0.0414,0.006,3e-04
"75","gBOIN-ET",45,10,"Highest Efficacy",8,"Rec",0.02,4.92,76.84,12.33,5,0.82,0.07
"76","gBOIN-ET",45,10,"Highest Efficacy",8,"Pats",NA,6.9201,22.2408,3.9591,1.9074,0.7587,0.2073
"77","gBOIN-ET",45,10,"Highest Efficacy",9,"Rec",1.74,1.54,2.69,5.47,83.21,5,0.35
"78","gBOIN-ET",45,10,"Highest Efficacy",9,"Pats",NA,4.2201,4.9416,4.8447,17.0394,4.1121,0.7305
"79","gBOIN-ET",45,10,"Highest Efficacy",10,"Rec",0.12,0.44,0.55,1.4,5.26,65.35,26.88
"80","gBOIN-ET",45,10,"Highest Efficacy",10,"Pats",NA,3.2661,3.5508,4.1295,5.6277,14.9535,4.4625
"81","gBOIN-ET",60,5,"Utility",1,"Rec",0.34,2.38,3.92,5.17,7.83,13.86,66.5
"82","gBOIN-ET",60,5,"Utility",1,"Pats",NA,3.7242,4.341,4.9044,5.4651,7.0497,10.4967
"83","gBOIN-ET",60,5,"Utility",2,"Rec",0.43,2.53,3.77,3.5,23.19,56.63,9.95
"84","gBOIN-ET",60,5,"Utility",2,"Pats",NA,3.8406,4.6008,5.5197,10.1037,10.5144,1.3827
"85","gBOIN-ET",60,5,"Utility",3,"Rec",4.15,4.99,9.22,10.38,57.63,12.52,1.11
"86","gBOIN-ET",60,5,"Utility",3,"Pats",NA,4.9125,6.9003,9.3525,12.378,1.9134,0.183
"87","gBOIN-ET",60,5,"Utility",4,"Rec",1.82,5.86,5.6,65.09,17.39,3.55,0.69
"88","gBOIN-ET",60,5,"Utility",4,"Pats",NA,5.8002,9.732,16.1811,3.4377,0.576,0.0648
"89","gBOIN-ET",60,5,"Utility",5,"Rec",1.87,12.17,13.05,58.74,12.41,1.63,0.13
"90","gBOIN-ET",60,5,"Utility",5,"Pats",NA,6.6237,11.655,14.8131,2.4099,0.2538,0.0174
"91","gBOIN-ET",60,5,"Utility",6,"Rec",0.62,8.71,70.62,16.62,2.93,0.46,0.04
"92","gBOIN-ET",60,5,"Utility",6,"Pats",NA,12.3138,19.5645,3.3756,0.5031,0.0618,0.0066
"93","gBOIN-ET",60,5,"Utility",7,"Rec",2.68,78.73,15.43,2.88,0.22,0.05,0.01
"94","gBOIN-ET",60,5,"Utility",7,"Pats",NA,30.8466,3.8754,0.5064,0.0528,0.0042,6e-04
"95","gBOIN-ET",60,5,"Utility",8,"Rec",0,10.75,78.61,8.13,1.96,0.51,0.04
"96","gBOIN-ET",60,5,"Utility",8,"Pats",NA,6.9945,22.1829,3.9255,1.9287,0.7638,0.2046
"97","gBOIN-ET",60,5,"Utility",9,"Rec",1.73,7.1,3.85,2.75,52.61,25.93,6.03
"98","gBOIN-ET",60,5,"Utility",9,"Pats",NA,4.1931,4.9146,4.8468,17.0652,4.134,0.7374
"99","gBOIN-ET",60,5,"Utility",10,"Rec",0.08,0.87,1.49,2.16,3.33,58.75,33.32
"100","gBOIN-ET",60,5,"Utility",10,"Pats",NA,3.2673,3.5814,4.1964,5.7348,14.871,4.3452
"101","gBOIN-ET",60,5,"Highest Efficacy",1,"Rec",0.34,0.74,1.51,2.96,8.85,22.51,63.09
"102","gBOIN-ET",60,5,"Highest Efficacy",1,"Pats",NA,3.7242,4.341,4.9044,5.4651,7.0497,10.4967
"103","gBOIN-ET",60,5,"Highest Efficacy",2,"Rec",0.43,0.66,1.81,3.54,34.98,54.3,4.28
"104","gBOIN-ET",60,5,"Highest Efficacy",2,"Pats",NA,3.8406,4.6008,5.5197,10.1037,10.5144,1.3827
"105","gBOIN-ET",60,5,"Highest Efficacy",3,"Rec",4.15,2.82,8.39,26.68,54.67,3.25,0.04
"106","gBOIN-ET",60,5,"Highest Efficacy",3,"Pats",NA,4.9125,6.9003,9.3525,12.378,1.9134,0.183
"107","gBOIN-ET",60,5,"Highest Efficacy",4,"Rec",1.82,4.28,15.06,65.51,11.53,1.62,0.18
"108","gBOIN-ET",60,5,"Highest Efficacy",4,"Pats",NA,5.8002,9.732,16.1811,3.4377,0.576,0.0648
"109","gBOIN-ET",60,5,"Highest Efficacy",5,"Rec",1.87,5.04,27.28,59.94,5.72,0.15,0
"110","gBOIN-ET",60,5,"Highest Efficacy",5,"Pats",NA,6.6237,11.655,14.8131,2.4099,0.2538,0.0174
"111","gBOIN-ET",60,5,"Highest Efficacy",6,"Rec",0.62,21.87,68.54,8.16,0.77,0.04,0
"112","gBOIN-ET",60,5,"Highest Efficacy",6,"Pats",NA,12.3138,19.5645,3.3756,0.5031,0.0618,0.0066
"113","gBOIN-ET",60,5,"Highest Efficacy",7,"Rec",2.68,89.82,7.24,0.25,0.01,0,0
"114","gBOIN-ET",60,5,"Highest Efficacy",7,"Pats",NA,30.8466,3.8754,0.5064,0.0528,0.0042,6e-04
"115","gBOIN-ET",60,5,"Highest Efficacy",8,"Rec",0,5.26,76.97,11.95,4.97,0.76,0.09
"116","gBOIN-ET",60,5,"Highest Efficacy",8,"Pats",NA,6.9945,22.1829,3.9255,1.9287,0.7638,0.2046
"117","gBOIN-ET",60,5,"Highest Efficacy",9,"Rec",1.73,1.39,2.87,5.17,82.96,5.3,0.58
"118","gBOIN-ET",60,5,"Highest Efficacy",9,"Pats",NA,4.1931,4.9146,4.8468,17.0652,4.134,0.7374
"119","gBOIN-ET",60,5,"Highest Efficacy",10,"Rec",0.08,0.27,0.52,1.5,5.41,65.91,26.31
"120","gBOIN-ET",60,5,"Highest Efficacy",10,"Pats",NA,3.2673,3.5814,4.1964,5.7348,14.871,4.3452
"121","gBOIN-ET",60,10,"Utility",1,"Rec",0.38,2.44,4.07,5.34,8.07,14.26,65.44
"122","gBOIN-ET",60,10,"Utility",1,"Pats",NA,3.7305,4.3308,4.9701,5.5293,6.9633,10.4532
"123","gBOIN-ET",60,10,"Utility",2,"Rec",0.5,2.25,3.65,3.56,23.14,57.23,9.67
"124","gBOIN-ET",60,10,"Utility",2,"Pats",NA,3.8205,4.5669,5.5596,10.2126,10.4184,1.3788
"125","gBOIN-ET",60,10,"Utility",3,"Rec",4.56,4.57,8.57,9.56,58.33,13.3,1.11
"126","gBOIN-ET",60,10,"Utility",3,"Pats",NA,4.9065,6.9201,9.1872,12.5271,1.8786,0.1698
"127","gBOIN-ET",60,10,"Utility",4,"Rec",1.69,6.49,4.98,65.13,17.62,3.47,0.62
"128","gBOIN-ET",60,10,"Utility",4,"Pats",NA,5.7612,9.6927,16.2129,3.5139,0.5637,0.072
"129","gBOIN-ET",60,10,"Utility",5,"Rec",1.74,12.49,12.7,58.49,12.83,1.65,0.1
"130","gBOIN-ET",60,10,"Utility",5,"Pats",NA,6.6975,11.7555,14.6706,2.3889,0.2769,0.0198
"131","gBOIN-ET",60,10,"Utility",6,"Rec",0.68,9.78,69.53,16.21,3.14,0.61,0.05
"132","gBOIN-ET",60,10,"Utility",6,"Pats",NA,12.5595,19.2825,3.3417,0.5274,0.0741,0.0066
"133","gBOIN-ET",60,10,"Utility",7,"Rec",2.76,78.74,15.45,2.65,0.36,0.04,0
"134","gBOIN-ET",60,10,"Utility",7,"Pats",NA,30.9099,3.8052,0.4896,0.0549,0.0057,0.0012
"135","gBOIN-ET",60,10,"Utility",8,"Rec",0,10.32,79.24,7.91,1.82,0.6,0.11
"136","gBOIN-ET",60,10,"Utility",8,"Pats",NA,7.0704,22.0983,3.9657,1.8903,0.7644,0.2109
"137","gBOIN-ET",60,10,"Utility",9,"Rec",1.81,7.23,3.41,3.4,52.72,24.99,6.44
"138","gBOIN-ET",60,10,"Utility",9,"Pats",NA,4.1988,4.9026,4.941,16.9296,4.1673,0.7497
"139","gBOIN-ET",60,10,"Utility",10,"Rec",0.05,0.95,1.43,1.75,3.29,58.67,33.86
"140","gBOIN-ET",60,10,"Utility",10,"Pats",NA,3.2691,3.5523,4.1457,5.7483,14.8449,4.4364
"141","gBOIN-ET",60,10,"Highest Efficacy",1,"Rec",0.38,0.68,1.43,2.97,8.85,22.07,63.62
"142","gBOIN-ET",60,10,"Highest Efficacy",1,"Pats",NA,3.7305,4.3308,4.9701,5.5293,6.9633,10.4532
"143","gBOIN-ET",60,10,"Highest Efficacy",2,"Rec",0.5,0.56,1.78,3.54,35.86,53.43,4.33
"144","gBOIN-ET",60,10,"Highest Efficacy",2,"Pats",NA,3.8205,4.5669,5.5596,10.2126,10.4184,1.3788
"145","gBOIN-ET",60,10,"Highest Efficacy",3,"Rec",4.56,2.76,8.8,25.24,55.16,3.39,0.09
"146","gBOIN-ET",60,10,"Highest Efficacy",3,"Pats",NA,4.9065,6.9201,9.1872,12.5271,1.8786,0.1698
"147","gBOIN-ET",60,10,"Highest Efficacy",4,"Rec",1.69,4.62,14.68,65.63,11.59,1.6,0.19
"148","gBOIN-ET",60,10,"Highest Efficacy",4,"Pats",NA,5.7612,9.6927,16.2129,3.5139,0.5637,0.072
"149","gBOIN-ET",60,10,"Highest Efficacy",5,"Rec",1.74,4.93,27.96,59.55,5.7,0.12,0
"150","gBOIN-ET",60,10,"Highest Efficacy",5,"Pats",NA,6.6975,11.7555,14.6706,2.3889,0.2769,0.0198
"151","gBOIN-ET",60,10,"Highest Efficacy",6,"Rec",0.68,22.65,68.01,7.74,0.86,0.06,0
"152","gBOIN-ET",60,10,"Highest Efficacy",6,"Pats",NA,12.5595,19.2825,3.3417,0.5274,0.0741,0.0066
"153","gBOIN-ET",60,10,"Highest Efficacy",7,"Rec",2.76,90.34,6.67,0.23,0,0,0
"154","gBOIN-ET",60,10,"Highest Efficacy",7,"Pats",NA,30.9099,3.8052,0.4896,0.0549,0.0057,0.0012
"155","gBOIN-ET",60,10,"Highest Efficacy",8,"Rec",0,5.35,76.97,11.87,4.83,0.87,0.11
"156","gBOIN-ET",60,10,"Highest Efficacy",8,"Pats",NA,7.0704,22.0983,3.9657,1.8903,0.7644,0.2109
"157","gBOIN-ET",60,10,"Highest Efficacy",9,"Rec",1.81,1.72,2.54,5.68,82.46,5.37,0.42
"158","gBOIN-ET",60,10,"Highest Efficacy",9,"Pats",NA,4.1988,4.9026,4.941,16.9296,4.1673,0.7497
"159","gBOIN-ET",60,10,"Highest Efficacy",10,"Rec",0.05,0.28,0.47,1.46,5.38,65.26,27.1
"160","gBOIN-ET",60,10,"Highest Efficacy",10,"Pats",NA,3.2691,3.5523,4.1457,5.7483,14.8449,4.4364
"161","gBOIN-ET",90,5,"Utility",1,"Rec",0.45,2.2,3.68,5.5,8.43,13.81,65.93
"162","gBOIN-ET",90,5,"Utility",1,"Pats",NA,3.7146,4.35,4.9527,5.5266,6.9471,10.4832
"163","gBOIN-ET",90,5,"Utility",2,"Rec",0.46,2.62,3.67,3.36,22.9,57.04,9.95
"164","gBOIN-ET",90,5,"Utility",2,"Pats",NA,3.825,4.5036,5.5137,10.1355,10.6227,1.3638
"165","gBOIN-ET",90,5,"Utility",3,"Rec",4.8,4.88,8.01,9.5,59.44,12.49,0.88
"166","gBOIN-ET",90,5,"Utility",3,"Pats",NA,4.9113,6.846,9.0687,12.6987,1.8549,0.1596
"167","gBOIN-ET",90,5,"Utility",4,"Rec",1.98,6.53,5.38,64.36,17.86,3.32,0.57
"168","gBOIN-ET",90,5,"Utility",4,"Pats",NA,5.793,9.7185,16.1949,3.4758,0.5475,0.0579
"169","gBOIN-ET",90,5,"Utility",5,"Rec",1.82,12.75,12.22,58.4,13.02,1.74,0.05
"170","gBOIN-ET",90,5,"Utility",5,"Pats",NA,6.5979,11.5686,14.9124,2.4318,0.2583,0.0177
"171","gBOIN-ET",90,5,"Utility",6,"Rec",0.49,9.13,70.81,16.09,3.05,0.37,0.06
"172","gBOIN-ET",90,5,"Utility",6,"Pats",NA,12.3285,19.614,3.3384,0.5037,0.06,0.0063
"173","gBOIN-ET",90,5,"Utility",7,"Rec",2.98,78.83,15.31,2.63,0.21,0.04,0
"174","gBOIN-ET",90,5,"Utility",7,"Pats",NA,30.9372,3.7809,0.4437,0.042,0.0051,3e-04
"175","gBOIN-ET",90,5,"Utility",8,"Rec",0.02,9.52,79.49,8.26,2.22,0.45,0.04
"176","gBOIN-ET",90,5,"Utility",8,"Pats",NA,6.9027,22.3185,3.99,1.8828,0.6999,0.1995
"177","gBOIN-ET",90,5,"Utility",9,"Rec",1.94,6.97,3.8,3.03,51.99,25.88,6.39
"178","gBOIN-ET",90,5,"Utility",9,"Pats",NA,4.2072,4.9107,4.8414,16.953,4.2144,0.7524
"179","gBOIN-ET",90,5,"Utility",10,"Rec",0.09,1,1.27,2.27,3.34,58.37,33.66
"180","gBOIN-ET",90,5,"Utility",10,"Pats",NA,3.2685,3.579,4.158,5.7363,14.9106,4.3422
"181","gBOIN-ET",90,5,"Highest Efficacy",1,"Rec",0.45,0.74,1.69,3.37,9.07,21.17,63.51
"182","gBOIN-ET",90,5,"Highest Efficacy",1,"Pats",NA,3.7146,4.35,4.9527,5.5266,6.9471,10.4832
"183","gBOIN-ET",90,5,"Highest Efficacy",2,"Rec",0.46,0.67,1.6,3.44,34.59,55.07,4.17
"184","gBOIN-ET",90,5,"Highest Efficacy",2,"Pats",NA,3.825,4.5036,5.5137,10.1355,10.6227,1.3638
"185","gBOIN-ET",90,5,"Highest Efficacy",3,"Rec",4.8,2.5,8.14,25.25,56.17,3.12,0.02
"186","gBOIN-ET",90,5,"Highest Efficacy",3,"Pats",NA,4.9113,6.846,9.0687,12.6987,1.8549,0.1596
"187","gBOIN-ET",90,5,"Highest Efficacy",4,"Rec",1.98,4.72,14.91,65.41,11.24,1.59,0.15
"188","gBOIN-ET",90,5,"Highest Efficacy",4,"Pats",NA,5.793,9.7185,16.1949,3.4758,0.5475,0.0579
"189","gBOIN-ET",90,5,"Highest Efficacy",5,"Rec",1.82,4.84,26.89,60.73,5.54,0.18,0
"190","gBOIN-ET",90,5,"Highest Efficacy",5,"Pats",NA,6.5979,11.5686,14.9124,2.4318,0.2583,0.0177
"191","gBOIN-ET",90,5,"Highest Efficacy",6,"Rec",0.49,22.46,68.09,8.13,0.8,0.03,0
"192","gBOIN-ET",90,5,"Highest Efficacy",6,"Pats",NA,12.3285,19.614,3.3384,0.5037,0.06,0.0063
"193","gBOIN-ET",90,5,"Highest Efficacy",7,"Rec",2.98,90.17,6.63,0.21,0.01,0,0
"194","gBOIN-ET",90,5,"Highest Efficacy",7,"Pats",NA,30.9372,3.7809,0.4437,0.042,0.0051,3e-04
"195","gBOIN-ET",90,5,"Highest Efficacy",8,"Rec",0.02,4.43,77.47,12.2,5.09,0.73,0.06
"196","gBOIN-ET",90,5,"Highest Efficacy",8,"Pats",NA,6.9027,22.3185,3.99,1.8828,0.6999,0.1995
"197","gBOIN-ET",90,5,"Highest Efficacy",9,"Rec",1.94,1.44,2.8,5.35,82.79,5.3,0.38
"198","gBOIN-ET",90,5,"Highest Efficacy",9,"Pats",NA,4.2072,4.9107,4.8414,16.953,4.2144,0.7524
"199","gBOIN-ET",90,5,"Highest Efficacy",10,"Rec",0.09,0.36,0.59,1.41,5.59,65.52,26.44
"200","gBOIN-ET",90,5,"Highest Efficacy",10,"Pats",NA,3.2685,3.579,4.158,5.7363,14.9106,4.3422
"201","gBOIN-ET",90,10,"Utility",1,"Rec",0.4,2.49,4.16,5.12,7.83,14.47,65.53
"202","gBOIN-ET",90,10,"Utility",1,"Pats",NA,3.7314,4.3668,4.9134,5.4963,7.0875,10.3839
"203","gBOIN-ET",90,10,"Utility",2,"Rec",0.47,2.22,3.9,3.36,22.94,57.74,9.37
"204","gBOIN-ET",90,10,"Utility",2,"Pats",NA,3.8397,4.5978,5.5617,10.104,10.5243,1.3281
"205","gBOIN-ET",90,10,"Utility",3,"Rec",4.58,4.63,8.32,9.32,59.06,13,1.09
"206","gBOIN-ET",90,10,"Utility",3,"Pats",NA,4.8918,6.882,9.1335,12.5937,1.8891,0.1728
"207","gBOIN-ET",90,10,"Utility",4,"Rec",1.77,6.31,5.68,63.97,18.04,3.73,0.5
"208","gBOIN-ET",90,10,"Utility",4,"Pats",NA,5.8191,9.7158,16.0788,3.5607,0.5829,0.0624
"209","gBOIN-ET",90,10,"Utility",5,"Rec",1.94,12.25,13.33,58.22,12.56,1.6,0.1
"210","gBOIN-ET",90,10,"Utility",5,"Pats",NA,6.7482,11.6046,14.7819,2.3592,0.2556,0.0171
"211","gBOIN-ET",90,10,"Utility",6,"Rec",0.65,9.77,69.61,16.6,2.94,0.39,0.04
"212","gBOIN-ET",90,10,"Utility",6,"Pats",NA,12.5133,19.3287,3.3942,0.5181,0.0588,0.0045
"213","gBOIN-ET",90,10,"Utility",7,"Rec",2.56,79.62,14.97,2.55,0.27,0.03,0
"214","gBOIN-ET",90,10,"Utility",7,"Pats",NA,31.0938,3.7293,0.4584,0.0345,0.0045,3e-04
"215","gBOIN-ET",90,10,"Utility",8,"Rec",0,9.78,78.95,8.55,2.01,0.58,0.13
"216","gBOIN-ET",90,10,"Utility",8,"Pats",NA,6.9231,22.2906,3.9045,1.9221,0.7551,0.2046
"217","gBOIN-ET",90,10,"Utility",9,"Rec",1.9,6.48,4.14,2.88,53.2,25.46,5.94
"218","gBOIN-ET",90,10,"Utility",9,"Pats",NA,4.2081,4.9251,4.9035,16.9422,4.2009,0.708
"219","gBOIN-ET",90,10,"Utility",10,"Rec",0.06,1.07,1.42,2.17,3.54,58.92,32.82
"220","gBOIN-ET",90,10,"Utility",10,"Pats",NA,3.2607,3.5685,4.1742,5.751,14.9556,4.2861
"221","gBOIN-ET",90,10,"Highest Efficacy",1,"Rec",0.4,0.66,1.85,3.1,8.3,22.78,62.91
"222","gBOIN-ET",90,10,"Highest Efficacy",1,"Pats",NA,3.7314,4.3668,4.9134,5.4963,7.0875,10.3839
"223","gBOIN-ET",90,10,"Highest Efficacy",2,"Rec",0.47,0.69,1.59,3.79,35.16,53.95,4.35
"224","gBOIN-ET",90,10,"Highest Efficacy",2,"Pats",NA,3.8397,4.5978,5.5617,10.104,10.5243,1.3281
"225","gBOIN-ET",90,10,"Highest Efficacy",3,"Rec",4.58,2.64,8.09,25.34,56.08,3.23,0.04
"226","gBOIN-ET",90,10,"Highest Efficacy",3,"Pats",NA,4.8918,6.882,9.1335,12.5937,1.8891,0.1728
"227","gBOIN-ET",90,10,"Highest Efficacy",4,"Rec",1.77,4.05,14.91,65.38,11.79,1.96,0.14
"228","gBOIN-ET",90,10,"Highest Efficacy",4,"Pats",NA,5.8191,9.7158,16.0788,3.5607,0.5829,0.0624
"229","gBOIN-ET",90,10,"Highest Efficacy",5,"Rec",1.94,5.05,27.39,59.6,5.9,0.12,0
"230","gBOIN-ET",90,10,"Highest Efficacy",5,"Pats",NA,6.7482,11.6046,14.7819,2.3592,0.2556,0.0171
