"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"1","gBOIN-ET",45,5,"Utility",1,"Rec",0.45,2.31,4.13,5.73,7.42,14.51,65.45
"2","gBOIN-ET",45,5,"Utility",1,"Pats",NA,3.7275,4.3329,4.9734,5.5212,7.0395,10.3809
"3","gBOIN-ET",45,5,"Utility",2,"Rec",0.5,2.34,3.81,3.48,21.69,58.19,9.99
"4","gBOIN-ET",45,5,"Utility",2,"Pats",NA,3.8298,4.5819,5.5071,9.9891,10.6815,1.3692
"5","gBOIN-ET",45,5,"Utility",3,"Rec",4.36,5.23,8.61,9.92,57.72,13.01,1.15
"6","gBOIN-ET",45,5,"Utility",3,"Pats",NA,4.9905,6.9693,9.267,12.2928,1.8987,0.174
"7","gBOIN-ET",45,5,"Utility",4,"Rec",1.75,6.88,5.79,64.25,17.24,3.58,0.51
"8","gBOIN-ET",45,5,"Utility",4,"Pats",NA,5.7312,9.8139,16.3017,3.3282,0.5628,0.0624
"9","gBOIN-ET",45,5,"Utility",5,"Rec",1.49,12.25,12.75,59.65,12.27,1.53,0.06
"10","gBOIN-ET",45,5,"Utility",5,"Pats",NA,6.5925,11.6568,14.964,2.3355,0.2493,0.0168
"11","gBOIN-ET",45,5,"Utility",6,"Rec",0.53,9.68,70.67,15.81,2.93,0.36,0.02
"12","gBOIN-ET",45,5,"Utility",6,"Pats",NA,12.4932,19.6095,3.24,0.4515,0.0456,0.0039
"13","gBOIN-ET",45,5,"Utility",7,"Rec",2.67,77.94,16.25,2.81,0.3,0.03,0
"14","gBOIN-ET",45,5,"Utility",7,"Pats",NA,30.9198,3.8364,0.4866,0.0516,0.0057,3e-04
"15","gBOIN-ET",45,5,"Utility",8,"Rec",0.02,10.63,77.74,8.53,2.4,0.56,0.12
"16","gBOIN-ET",45,5,"Utility",8,"Pats",NA,7.0437,21.9024,4.1232,1.9614,0.7572,0.2055
"17","gBOIN-ET",45,5,"Utility",9,"Rec",1.82,6.83,3.68,3.04,53.22,25.51,5.9
"18","gBOIN-ET",45,5,"Utility",9,"Pats",NA,4.2267,4.9536,4.8846,16.9125,4.1868,0.7248
"19","gBOIN-ET",45,5,"Utility",10,"Rec",0.11,1.3,1.27,1.91,3.44,58.89,33.08
"20","gBOIN-ET",45,5,"Utility",10,"Pats",NA,3.2634,3.5811,4.1637,5.7078,14.9538,4.323
"21","gBOIN-ET",45,5,"Highest Efficacy",1,"Rec",0.45,0.78,1.86,3.32,8.43,22.55,62.61
"22","gBOIN-ET",45,5,"Highest Efficacy",1,"Pats",NA,3.7275,4.3329,4.9734,5.5212,7.0395,10.3809
"23","gBOIN-ET",45,5,"Highest Efficacy",2,"Rec",0.5,0.73,1.78,3.61,34.79,54.12,4.47
"24","gBOIN-ET",45,5,"Highest Efficacy",2,"Pats",NA,3.8298,4.5819,5.5071,9.9891,10.6815,1.3692
"25","gBOIN-ET",45,5,"Highest Efficacy",3,"Rec",4.36,2.9,8.73,26.24,54.35,3.39,0.03
"26","gBOIN-ET",45,5,"Highest Efficacy",3,"Pats",NA,4.9905,6.9693,9.267,12.2928,1.8987,0.174
"27","gBOIN-ET",45,5,"Highest Efficacy",4,"Rec",1.75,4.59,14.84,65.93,10.71,1.98,0.2
"28","gBOIN-ET",45,5,"Highest Efficacy",4,"Pats",NA,5.7312,9.8139,16.3017,3.3282,0.5628,0.0624
