"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"43","TITE-gBOIN-ET",45,10,"Utility",2,"Rec",0.47,1.65,2.79,3.03,29.92,54.35,7.79
"44","TITE-gBOIN-ET",45,10,"Utility",2,"Pats",NA,3.8007,4.596,5.7141,11.2437,9.375,1.2348
"45","TITE-gBOIN-ET",45,10,"Utility",3,"Rec",3.57,4.38,8.1,11.16,60.53,11.16,1.1
"46","TITE-gBOIN-ET",45,10,"Utility",3,"Pats",NA,4.977,7.2765,9.9306,11.5203,1.7688,0.1866
"47","TITE-gBOIN-ET",45,10,"Utility",4,"Rec",1.23,4.96,5.11,68.75,16.52,2.96,0.47
"48","TITE-gBOIN-ET",45,10,"Utility",4,"Pats",NA,6.0744,10.4061,15.4212,3.3474,0.5445,0.0756
"49","TITE-gBOIN-ET",45,10,"Utility",5,"Rec",1.07,9.43,14.88,61.51,11.63,1.38,0.1
"50","TITE-gBOIN-ET",45,10,"Utility",5,"Pats",NA,6.8856,12.5703,13.9239,2.2113,0.2655,0.018
"51","TITE-gBOIN-ET",45,10,"Utility",6,"Rec",0.62,8.33,71.62,15.97,2.99,0.36,0.11
"52","TITE-gBOIN-ET",45,10,"Utility",6,"Pats",NA,13.5069,18.435,3.2523,0.5283,0.0744,0.0117
"53","TITE-gBOIN-ET",45,10,"Utility",7,"Rec",3.59,81.82,12.35,2.01,0.19,0.04,0
"54","TITE-gBOIN-ET",45,10,"Utility",7,"Pats",NA,31.455,3.2361,0.4188,0.0396,0.0051,3e-04
"55","TITE-gBOIN-ET",45,10,"Utility",8,"Rec",0,15.08,76.29,6.96,1.34,0.3,0.03
"56","TITE-gBOIN-ET",45,10,"Utility",8,"Pats",NA,8.2419,21.1362,4.1001,1.7478,0.6078,0.1662
"57","TITE-gBOIN-ET",45,10,"Utility",9,"Rec",1.26,2.59,2.57,3.28,64.33,21.61,4.36
"58","TITE-gBOIN-ET",45,10,"Utility",9,"Pats",NA,4.0689,4.7694,4.7952,17.7399,3.8841,0.6705
"59","TITE-gBOIN-ET",45,10,"Utility",10,"Rec",0.06,0.62,1.23,2.56,6.25,58.44,30.84
"60","TITE-gBOIN-ET",45,10,"Utility",10,"Pats",NA,3.3102,3.6669,4.4562,6.3993,13.9611,4.2036
"61","TITE-gBOIN-ET",45,10,"Highest Efficacy",1,"Rec",0.33,0.59,1.6,2.92,9.4,25.58,59.58
"62","TITE-gBOIN-ET",45,10,"Highest Efficacy",1,"Pats",NA,3.7095,4.314,4.9836,5.7513,7.5792,9.6447
"63","TITE-gBOIN-ET",45,10,"Highest Efficacy",2,"Rec",0.47,0.61,1.37,4.16,42.41,48.11,2.87
"64","TITE-gBOIN-ET",45,10,"Highest Efficacy",2,"Pats",NA,3.8007,4.596,5.7141,11.2437,9.375,1.2348
"65","TITE-gBOIN-ET",45,10,"Highest Efficacy",3,"Rec",3.57,3.23,9.79,30.33,50.36,2.65,0.07
"66","TITE-gBOIN-ET",45,10,"Highest Efficacy",3,"Pats",NA,4.977,7.2765,9.9306,11.5203,1.7688,0.1866
"67","TITE-gBOIN-ET",45,10,"Highest Efficacy",4,"Rec",1.23,6.02,20.41,61.83,9.17,1.2,0.14
"68","TITE-gBOIN-ET",45,10,"Highest Efficacy",4,"Pats",NA,6.0744,10.4061,15.4212,3.3474,0.5445,0.0756
"69","TITE-gBOIN-ET",45,10,"Highest Efficacy",5,"Rec",1.07,5.36,32.56,56.6,4.27,0.14,0
"70","TITE-gBOIN-ET",45,10,"Highest Efficacy",5,"Pats",NA,6.8856,12.5703,13.9239,2.2113,0.2655,0.018
"71","TITE-gBOIN-ET",45,10,"Highest Efficacy",6,"Rec",0.62,32.03,61.15,5.69,0.48,0.03,0
"72","TITE-gBOIN-ET",45,10,"Highest Efficacy",6,"Pats",NA,13.5069,18.435,3.2523,0.5283,0.0744,0.0117
"73","TITE-gBOIN-ET",45,10,"Highest Efficacy",7,"Rec",3.59,91.43,4.84,0.14,0,0,0
"74","TITE-gBOIN-ET",45,10,"Highest Efficacy",7,"Pats",NA,31.455,3.2361,0.4188,0.0396,0.0051,3e-04
"75","TITE-gBOIN-ET",45,10,"Highest Efficacy",8,"Rec",0,10.95,76.26,9.68,2.74,0.34,0.03
"76","TITE-gBOIN-ET",45,10,"Highest Efficacy",8,"Pats",NA,8.2419,21.1362,4.1001,1.7478,0.6078,0.1662
"77","TITE-gBOIN-ET",45,10,"Highest Efficacy",9,"Rec",1.26,1.16,2.41,4.48,87.92,2.44,0.33
"78","TITE-gBOIN-ET",45,10,"Highest Efficacy",9,"Pats",NA,4.0689,4.7694,4.7952,17.7399,3.8841,0.6705
"79","TITE-gBOIN-ET",45,10,"Highest Efficacy",10,"Rec",0.06,0.24,0.66,2.13,8.21,63.83,24.87
"80","TITE-gBOIN-ET",45,10,"Highest Efficacy",10,"Pats",NA,3.3102,3.6669,4.4562,6.3993,13.9611,4.2036
"81","TITE-gBOIN-ET",60,5,"Utility",1,"Rec",0.23,1.6,3.25,3.97,7.12,16.35,67.48
"82","TITE-gBOIN-ET",60,5,"Utility",1,"Pats",NA,3.858,4.5603,5.2923,5.9136,7.2012,9.1638
"83","TITE-gBOIN-ET",60,5,"Utility",2,"Rec",0.47,1.5,2.92,3.39,27.85,54.37,9.5
"84","TITE-gBOIN-ET",60,5,"Utility",2,"Pats",NA,3.9561,4.8018,5.7669,9.9543,9.6786,1.8009
"85","TITE-gBOIN-ET",60,5,"Utility",3,"Rec",3.19,4.18,8.2,11.41,59.5,12.19,1.33
"86","TITE-gBOIN-ET",60,5,"Utility",3,"Pats",NA,4.965,7.2795,9.5721,11.4927,2.1423,0.2685
"87","TITE-gBOIN-ET",60,5,"Utility",4,"Rec",1.09,4.96,5.21,64.68,18.93,4.44,0.69
"88","TITE-gBOIN-ET",60,5,"Utility",4,"Pats",NA,6.0354,10.1223,14.2608,4.2996,1.0131,0.1572
"89","TITE-gBOIN-ET",60,5,"Utility",5,"Rec",1.17,9.15,15.29,59.97,12.62,1.75,0.05
"90","TITE-gBOIN-ET",60,5,"Utility",5,"Pats",NA,7.125,12.0246,13.5675,2.7336,0.3849,0.0339
"91","TITE-gBOIN-ET",60,5,"Utility",6,"Rec",0.61,8.03,68.67,17.71,4.28,0.63,0.07
"92","TITE-gBOIN-ET",60,5,"Utility",6,"Pats",NA,12.7647,17.757,4.2411,0.8853,0.1395,0.0189
"93","TITE-gBOIN-ET",60,5,"Utility",7,"Rec",3.69,79.2,13.71,3.01,0.35,0.03,0.01
"94","TITE-gBOIN-ET",60,5,"Utility",7,"Pats",NA,30.2781,4.0419,0.6828,0.0807,0.0099,3e-04
"95","TITE-gBOIN-ET",60,5,"Utility",8,"Rec",0,13.99,75.73,7.77,2.03,0.42,0.06
"96","TITE-gBOIN-ET",60,5,"Utility",8,"Pats",NA,6.6993,20.3433,4.9161,2.6712,1.0803,0.2898
"97","TITE-gBOIN-ET",60,5,"Utility",9,"Rec",0.84,2.75,2.16,2.87,61.73,24.23,5.42
"98","TITE-gBOIN-ET",60,5,"Utility",9,"Pats",NA,4.3341,5.136,5.1438,15.7599,4.6698,0.9078
